id;Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12
1;0;0;0;0,176471;439078;-1;0;0;1,4;4;0;0
2;0;0;0;0;803000;0;0;1;1,818182;9;0;0
3;0;0;0,2862;0;25000;0;0;0;1,555556;5;0;0
4;1;5;0;0,709677;851360;0;0;1;1;0;1;0
5;1;0;0;0;4000;0;0;1;1,071429;1;0;0
6;0;0;0;0;6000;0;0;0;2;10;0;0
7;1;0;-1;-1;0;0;0;1;1;0;0;0
8;0;0;0;0;24000;0;0;1;1;0;0;0
9;0;0;0;0;731032;0;0;0;1,4;4;0;0
10;1;0;0;0;249940;0;0;1;1,4;6;0;0
11;0;0;0;0;239810;0;0;1;1,5;5;0;0
12;0;0;0,013784;0,075;870596;0;0;1;1,5;5;0;0
13;0;0;0;0;38000;0;0;0;0,714286;-2;0;0
14;1;0;-1;0;0;0;1;0;0,714286;-2;0;0
15;0;0;0;0;274396;0;0;0;1;0;0;0
16;0;0;0;0;30000;0;1;0;1,428571;3;0;0
17;0;0;0;0;492290;0;0;0;1;0;0;0
18;1;0;0;0;111000;0;0;1;1,105263;2;0;0
19;0;0;0;0;150000;0;0;1;1;0;0;0
20;0;0;0;0;85500;0;0;0;1,333333;5;0;0
21;0;0;0;0;156600;0;0;1;1,538462;7;0;0
22;0;0;0;0;48502;0;0;1;1;0;0;1
23;0;0;0;0;50000;0;0;0;2,2;6;0;0
24;0;0;0;0,235294;778666;0;0;1;0,9;-2;0;1
25;0;0;-1;-1;0;0;0;0;1,555556;5;0;0
26;0;0;0;0;519465;0;0;0;2,2;6;0;1
27;1;1;0,012011;0,0625;749306;1;0;0;1;0;0;0
28;0;1;0,003578;0,105263;358892;1;0;1;1;0;0;0
29;0;0;0,090706;0,2;85000;0;0;0;1,3;3;0;0
30;0;0;0;0;621144;0;0;1;1;0;0;0
31;0;0;0;0;2000;0;0;0;1,428571;3;0;0
32;0;0;0;0;19100;0;0;0;1,166667;2;0;0
33;0;0;-1;-1;0;0;0;0;1,666667;8;0;0
34;1;0;0;0,055556;663974;0;0;1;1,071429;1;0;0
35;0;0;0,412167;0,5;12000;0;0;1;2;5;0;0
36;1;2;0,185619;0,375;113000;0;0;1;1;0;0;0
37;0;0;0;0;53000;0;0;0;1;0;0;0
38;0;0;0;0;411400;0;0;0;1;0;0;0
39;0;0;0,06053;0,333333;66000;0;0;0;1,666667;6;0;0
40;0;0;0;0;3164293;0;0;0;1;0;0;0
41;0;0;0;0,666667;51880;0;2;1;1,2;1;0;0
42;0;0;0;0;185000;0;0;0;0,5;-5;0;0
43;0;0;0;0;14000;0;0;0;4;15;0;0
44;1;1;0;0,166667;10000;0;0;0;1;0;0;0
45;0;0;0;0;11000;0;1;0;1,176471;3;0;0
46;1;3;0;0,230769;38500;0;0;0;1,25;3;0;0
47;0;0;0;0;135000;0;0;0;1,333333;5;0;0
48;0;0;0;0;879198;0;0;1;1;0;0;0
49;0;0;0;0;2000;0;1;0;1;0;0;0
50;2;1;0,013548;0,111111;576005;1;0;1;1;0;0;0
51;1;0;0;0;90000;0;0;1;1;0;0;0
52;1;0;0;0;175258;0;0;1;1,4;2;0;0
53;0;0;0;0;11000;0;1;1;1,428571;6;0;0
54;0;0;0;0;11000;0;0;1;4;15;0;0
55;0;0;0;0;830518;0;0;1;1,363636;4;0;0
56;0;0;0,011584;0,060606;474960;0;0;0;1;0;0;0
57;0;0;0;0;63600;0;0;1;4;15;0;0
58;0;1;0,00399;0,1875;408000;1;0;0;0,75;-5;0;0
59;0;0;0;0;5000;0;0;0;0,5;-5;0;0
60;0;0;0,017999;0,04;300023;-1;0;1;2;10;0;0
61;1;1;0,196749;0,034483;117200;1;0;0;0,5;-5;0;0
62;0;0;0,8907;0,8;20000;0;0;0;4;15;0;0
63;0;0;0;0;748000;0;0;0;1;0;0;0
64;0;0;0;0;5000;0;0;0;1;0;0;0
65;0;3;0,7138;0,176471;33501;1;0;1;1;0;0;0
66;0;0;0;0;1356746;0;0;1;1;0;0;0
67;2;0;0;0;418420;0;0;1;1;0;0;0
68;0;0;0;0;9000;0;2;1;1;0;0;0
69;0;1;0,009347;0,185185;1540417;0;0;0;1,266667;4;0;0
70;0;0;0;0;71200;0;0;0;0,833333;-2;0;0
71;0;0;0;0;290000;0;0;0;1;0;0;0
72;0;0;0;0;789138;0;0;1;1;0;0;0
73;1;2;0,023645;0,833333;615767;1;0;0;1,5;4;0;0
74;0;0;0;0;31559;0;0;0;1,428571;6;0;0
75;0;0;0;-1;85000;0;0;0;1,2;2;0;0
76;0;0;0,227137;0,25;10016;1;1;0;0,7;-6;0;0
77;0;0;0;0;114000;0;0;0;1,357143;5;0;0
78;1;1;0,132031;2;39256;1;0;1;1,5;5;0;0
79;0;0;0,75;0;2000;0;1;0;1;0;0;0
80;0;5;-1;1,25;0;0;5;0;0,555556;-4;0;0
81;0;0;0;0,647059;288248;-2;0;0;1;0;0;0
82;1;1;0,413391;0,153846;87000;0;0;0;1;0;0;0
83;0;0;0;0;5000;0;0;0;1;0;0;0
84;0;0;0;0,3;357084;0;0;0;1,052632;1;0;0
85;0;0;0;0;2000;0;2;0;1,2;3;0;0
86;1;0;0;0,647059;288248;-2;0;1;1;0;0;0
87;1;2;0,060516;0,625;565075;1;0;1;3;10;1;0
88;1;2;0,043139;0,444444;400500;1;0;0;1;0;0;0
89;1;2;0,5375;0,1875;40000;1;0;0;1;0;0;0
90;0;0;0,708622;0,333333;16573;0;0;0;1,666667;6;0;0
91;1;7;0,64105;0,258065;60000;0;0;1;0,8;-3;0;0
92;0;0;0;0;222319;0;0;0;1,375;3;0;0
93;0;0;0,004874;0,25;210300;0;0;0;1;0;0;0
94;0;0;0;0;198368;-1;0;0;1,428571;6;0;0
95;0;0;0,386262;0,083333;10700;0;0;0;1,666667;8;0;0
96;1;2;-1;2;0;1;2;0;1,571429;4;0;0
97;0;0;0;0;7000;0;0;1;1;0;0;0
98;0;0;0;0;160000;0;0;0;1,4;4;0;0
99;0;0;0;0;6000;0;0;0;1;0;0;0
100;0;0;0;0;24000;0;0;0;2;5;0;0
101;0;0;0;0,12;254364;0;0;0;1;0;0;0
102;0;0;0;0;3000;0;1;0;0,888889;-1;0;0
103;0;0;0;0;214000;0;0;0;0,9;-1;0;0
104;0;0;0;0;7000;0;1;0;1,333333;5;0;0
105;1;0;0;0;49500;0;1;0;0,55;-9;0;0
106;0;0;0;0,428571;45000;0;0;0;1,25;2;0;0
107;0;0;0;0;164290;0;0;1;2,2;6;0;0
108;0;0;0;0;151100;0;0;0;3,333333;14;0;0
109;0;0;0,002478;0,095238;792580;0;0;0;4;15;0;0
110;1;0;0;0;404249;0;0;0;1,666667;8;0;0
111;1;0;0;0;22000;0;0;0;1;0;0;0
112;1;0;0;0,125;344759;0;0;0;1,444444;4;0;0
113;0;0;0,042857;0;14000;1;0;0;1,111111;2;0;0
114;0;0;0;0;7000;0;0;0;1;0;0;0
115;0;0;6,145857;0,666667;7000;0;0;0;2,4;7;0;0
116;0;0;0;0;443049;0;0;0;1;0;0;0
117;0;0;0,045661;0,214286;400360;0;0;0;1,272727;3;0;0
118;1;1;0,106506;0,142857;235000;0;0;0;0,25;-15;0;0
119;1;0;0;0;503000;0;0;1;0,666667;-5;0;0
120;0;7;0,890875;0,708333;189609;3;0;1;1;0;7;0
121;2;5;0,115909;0,75;835115;2;0;1;1;0;0;0
122;1;2;0,079938;1;354149;1;0;1;1;0;1;0
123;1;3;1,452133;0,6;15000;1;0;0;4;15;0;0
124;0;0;0,00001;0;102000;0;0;0;1;0;0;0
125;0;0;0,000129;0,285714;520900;1;0;0;1;0;0;0
126;0;0;0,061502;0;61494;0;0;1;1,6;3;0;0
127;0;0;0;0;126000;0;0;0;0,357143;-9;0;0
128;0;0;0;0;406680;0;0;1;1;0;0;1
129;0;0;0;0;2212549;-1;0;0;0,4;-12;0;0
130;0;0;0;0;120954;0;0;0;1,4;4;0;0
131;1;0;0;0;10000;0;0;0;1,058824;1;0;0
132;0;0;0;0;48098;0;0;1;4;15;0;0
133;0;0;-1;0;0;0;0;0;0,818182;-2;0;0
134;0;0;0;0;321326;0;0;1;1,285714;2;0;0
135;0;0;0;0,2;773145;0;0;0;1,333333;5;0;0
136;0;0;0;0;144381;0;0;0;1;0;0;0
137;0;2;0,159851;0,095238;87100;1;1;0;0,5;-5;0;0
138;0;0;0;0,157895;339168;1;0;0;0,5;-5;0;0
139;0;0;0;0,24;345880;0;0;1;1;0;0;0
140;0;0;0;0;198000;0;0;0;1,142857;1;0;0
141;0;0;0;0;430920;0;0;1;1;0;0;0
142;0;0;-1;0;0;0;0;0;1,142857;1;0;0
143;0;0;0;0;339300;0;0;1;1;0;0;0
144;0;0;0;0;7000;0;1;0;2;5;0;0
145;0;0;0;0;206992;0;0;0;1,666667;8;0;0
146;0;0;0;0;480800;0;0;0;0,454545;-6;0;0
147;0;0;0;0;13000;0;0;0;2,222222;11;0;0
148;0;0;0;0;136000;0;0;0;1,176471;3;0;0
149;1;0;0;0;335770;0;0;0;1,25;2;0;0
150;0;0;0;0;116620;0;1;0;1;0;0;0
151;0;0;0;0;977000;0;0;1;0,555556;-4;0;0
